C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53
62.93,54.101,21.053,60.328,21.906,38.285,39.555,43.595,47.147,41.09,18.359,50,0.21444,3647.1,4562.3,9.3893,26.767,42.098,2704.9,74.461,120.39,0.31942,80.116,50.495,2632.8,25.003,48.73,3102.4,22.842,65.734,229.71,340.92,94.685,77.338,31.896,8.9562,26.662,6.8865,18.348,1.6249,32.991,13.835,24.369,1.0076,18.47,2.2478,4.7479,2.3503,0.018812,0.83834,0.10682,53.666,44.8
63.01,54.829,21.016,64.287,22.19,38.416,35.35,45.682,47.127,40.991,17.577,50,0.2148,3642.2,4501.5,9.2594,26.817,42.142,2704.4,74.723,120.39,0.31834,80.121,49.065,2634.1,25.565,49.632,3102.2,23.178,65.743,228.2,340.92,94.646,77.099,31.896,8.9562,26.662,6.8865,18.348,1.6249,32.991,13.835,24.369,1.0076,18.47,2.2478,4.7479,2.3503,0.018812,0.83834,0.10682,53.666,44.8
63.59,54.806,26.761,62.008,21.848,39.616,39.496,45.681,47.033,40.459,18.41,50,0.27201,3624.1,4540.6,9.3203,27.112,42.863,2704.7,75.563,120.39,0.3408,79.996,50.475,2632.3,25.97,49.631,3103.7,22.838,65.697,227.56,340.51,94.694,76.948,32.471,8.8834,25.876,6.7855,18.559,1.6016,32.774,13.799,23.783,1.2598,18.657,2.2573,4.8513,2.3066,0.018812,0.83834,0.10682,53.666,44.8
62.93,54.373,26.499,60.768,21.871,39.956,41.586,50.988,46.947,41.49,18.254,50,0.27468,3662.4,4576.7,9.3035,26.762,42.076,2707.3,74.45,120.42,0.33802,80.225,51.185,2635.7,26.942,51.925,3105.9,22.883,65.666,226.86,340.42,94.534,77.501,32.471,8.8834,25.876,6.7855,18.559,1.6016,32.774,13.799,23.783,1.2598,18.657,2.2573,4.8513,2.3066,0.018812,0.83834,0.10682,53.666,44.8
64.08,54.117,20.948,62.052,21.86,39.684,43.721,44.734,46.797,40.778,17.73,50,0.21991,3649.4,4559.6,9.2751,26.804,42.188,2707.1,75.243,120.39,0.33233,80.264,51.91,2635.3,25.691,49.222,3105.6,23.106,65.697,226.82,340.44,94.601,77.289,32.091,8.8226,26.231,6.8469,18.65,1.6664,32.876,13.845,24.463,1.2048,18.713,2.2558,4.7776,2.3537,0.018812,0.83834,0.10682,53.666,44.8
63.92,54.575,21.093,61.956,21.91,39.621,36.187,45.798,46.905,41.723,16.887,50,0.21843,3658.6,4521.3,9.4353,26.905,42.026,2704.2,74.911,120.41,0.33285,80.138,49.35,2633.5,25.368,49.682,3103,23.465,65.675,228.37,340.35,94.5,77.238,32.091,8.8226,26.231,6.8469,18.65,1.6664,32.876,13.845,24.463,1.2048,18.713,2.2558,4.7776,2.3537,0.014163,0.84239,0.11316,53.964,42.944
63.56,54.275,24.765,61.787,21.875,40.595,34.41,46.72,46.964,41.027,19.289,50,0.25268,3652.3,4530,9.333,26.712,41.981,2704.6,75.067,120.39,0.33493,80.256,48.746,2633.3,24.374,50.08,3103.6,22.451,65.705,227.95,339.92,94.581,77.2,31.936,8.8652,26.596,6.8961,18.513,1.6842,32.768,13.864,24.173,1.3837,18.794,2.2926,4.9313,2.2616,0.014163,0.84239,0.11316,53.964,42.944
63.30,54.209,24.795,58.371,21.895,40.225,40.987,45.753,47.058,41.807,19.061,50,0.25238,3667.2,4535.5,9.2646,27.046,42.506,2701.8,75.655,120.39,0.33796,80.089,50.981,2631.1,25.105,49.663,3102.5,22.557,65.678,227.16,339.66,94.534,76.998,31.936,8.8652,26.596,6.8961,18.513,1.6842,32.768,13.864,24.173,1.3837,18.794,2.2926,4.9313,2.2616,0.014163,0.84239,0.11316,53.964,42.944
63.61,54.382,26.726,61.079,21.357,40.586,37.066,44.109,46.801,40.486,18.38,50,0.26642,3624.5,4552,9.276,27.247,42.637,2698.9,75.224,120.36,0.33957,79.914,49.649,2626.7,26.359,48.952,3100.8,22.855,65.633,230.3,339.31,94.733,77.032,32.218,8.9784,26.333,6.9418,18.832,1.6718,32.85,13.793,23.636,1.2103,18.792,2.2723,4.8715,2.2922,0.014163,0.84239,0.11316,53.964,42.944
62.51,54.568,26.534,62.164,21.667,40.691,33.837,45.595,46.966,41.141,17.184,50,0.26837,3688.4,4536.4,9.2711,26.857,42.393,2700.9,75.414,120.43,0.33871,79.985,48.551,2629.3,24.767,49.594,3100.4,23.349,65.592,228.78,340.02,94.696,77.481,32.218,8.9784,26.333,6.9418,18.832,1.6718,32.85,13.793,23.636,1.2103,18.792,2.2723,4.8715,2.2922,0.014163,0.84239,0.11316,53.964,42.944
62.91,54.576,23.979,60.077,21.92,40.074,41.247,44.548,47.075,39.719,16.402,50,0.24203,3640,4471.7,9.3574,27.103,42.493,2702.6,75.534,120.35,0.32824,80.279,51.069,2631.2,24.919,49.142,3101.5,23.675,65.639,229.07,339.89,94.619,77.355,31.982,8.8894,26.437,6.828,18.758,1.6636,32.996,13.791,23.651,1.2836,18.458,2.2438,4.9045,2.344,0.014451,0.843,0.10009,53.608,44.048
62.15,54.245,23.903,59.57,21.986,39.563,36.76,48.42,47.137,41.988,17.124,50,0.24281,3684.1,4499.4,9.3666,27.406,42.329,2701.7,75.219,120.45,0.33243,80.195,49.545,2630.4,24.471,50.815,3101,23.377,65.679,229.15,339.71,94.718,77.21,31.982,8.8894,26.437,6.828,18.758,1.6636,32.996,13.791,23.651,1.2836,18.458,2.2438,4.9045,2.344,0.014451,0.843,0.10009,53.608,44.048
62.94,53.873,26.255,61.819,21.578,39.553,38.211,45.623,47.271,40.265,17.665,50,0.26631,3696.3,4545.5,9.3295,26.705,42.537,2701.8,75.462,120.38,0.33165,80.243,50.038,2629.8,26.597,49.606,3101.7,23.146,65.726,228.42,339.35,94.495,77.258,31.697,8.7921,25.702,6.8339,18.839,1.6649,32.778,14.003,23.617,1.2463,18.674,2.3146,4.7647,2.2934,0.014451,0.843,0.10009,53.608,44.048
63.31,54.348,26.304,61.813,21.666,39.652,44.103,44.662,47.155,41.826,18.205,50,0.26581,3674.6,4505.8,9.2643,26.482,42.46,2701.8,75.309,120.42,0.33084,80.214,52.04,2629.4,24.263,49.191,3101.2,22.925,65.711,230.49,339.68,94.718,77.066,31.697,8.7921,25.702,6.8339,18.839,1.6649,32.778,14.003,23.617,1.2463,18.674,2.3146,4.7647,2.2934,0.014451,0.843,0.10009,53.608,44.048
63.17,54.073,29.255,61.901,21.08,42.728,40.258,47.76,47.298,40.269,19.112,50,0.29837,3682.8,4511.8,9.2701,26.684,42.282,2698.1,74.883,120.37,0.35316,79.995,50.733,2626.3,25.98,50.53,3099.4,22.552,65.709,229.67,339.27,94.429,77.033,32.407,8.8759,26.27,6.8902,18.908,1.6966,32.957,13.925,24.033,1.3445,19.237,2.2985,4.8022,2.362,0.014451,0.843,0.10009,53.608,44.048
62.94,54.082,29.46,61.873,21.668,42.408,42.489,43.324,47.401,41.803,17.94,50,0.29628,3696.1,4511,9.3377,27.36,42.54,2700.6,74.895,120.43,0.35578,80.202,51.491,2629,24.722,48.613,3101,23.026,65.672,229.64,339.4,94.72,77.661,32.407,8.8759,26.27,6.8902,18.908,1.6966,32.957,13.925,24.033,1.3445,19.237,2.2985,4.8022,2.362,0.022904,0.83636,0.10301,54.133,43.302
62.58,54.263,22.749,61.677,21.731,41.091,40.961,50.904,47.495,40.334,15.887,50,0.22987,3689.2,4480.6,9.3127,26.841,42.695,2698.9,75.426,120.38,0.35111,80.294,50.972,2628.2,23.972,51.888,3098.9,23.899,65.748,229.48,339.64,94.43,77.285,31.985,8.896,25.718,6.855,18.931,1.6648,32.532,13.673,23.663,1.0629,18.918,2.2776,4.891,2.3392,0.022904,0.83636,0.10301,54.133,43.302
63.26,54.376,22.579,61.269,21.554,41.655,41.968,46.455,47.458,40.97,19.829,50,0.2316,3649.7,4471.1,9.4153,26.731,42.076,2699.1,75.334,120.42,0.34649,80.306,51.314,2627.2,25.982,49.966,3098.4,22.239,65.782,230.77,339.26,94.758,77.164,31.985,8.896,25.718,6.855,18.931,1.6648,32.532,13.673,23.663,1.0629,18.918,2.2776,4.891,2.3392,0.022904,0.83636,0.10301,54.133,43.302
63.17,54.304,26.693,61.741,21.493,37.611,39.873,49.639,47.583,40.665,19.562,50,0.27126,3673.6,4470.3,9.3885,26.972,42.368,2697.4,75.829,120.38,0.32401,80.169,50.603,2625.4,26.618,51.342,3098.4,22.357,65.772,230.27,338.89,94.442,77.189,32.451,8.9557,26.115,6.9716,18.528,1.644,32.505,14.08,23.586,1.3414,18.848,2.2624,4.9254,2.3156,0.022904,0.83636,0.10301,54.133,43.302
63.01,53.804,26.659,60.114,21.235,37.946,34.806,46.015,47.705,41.23,15.803,50,0.2716,3682.5,4512.1,9.3623,27.159,42.525,2697.5,74.596,120.39,0.32126,80.183,48.881,2625.5,25.691,49.776,3099,23.935,65.789,229.77,339.09,94.725,77.399,32.451,8.9557,26.115,6.9716,18.528,1.644,32.505,14.08,23.586,1.3414,18.848,2.2624,4.9254,2.3156,0.022904,0.83636,0.10301,54.133,43.302
61.93,54.737,22.315,59.577,21.84,43.36,35.418,46.576,47.508,41.052,20.225,50,0.22498,3684.5,4517.4,9.4072,26.918,42.117,2699,74.355,120.4,0.36684,80.462,49.089,2627.3,25.952,50.018,3097.5,22.059,65.82,231.04,339.42,94.606,77.655,31.663,9.026,26.5,6.8001,19.004,1.6635,32.666,13.967,23.328,1.3209,18.739,2.245,4.8906,2.293,0.029914,0.82915,0.088767,53.814,43.584
62.22,54.182,22.242,61.015,21.605,43.632,38.385,46.238,47.69,40.601,16.561,50,0.22572,3667.4,4563.8,9.2159,26.68,41.899,2699.2,75.152,120.38,0.36461,80.59,50.097,2628,25.071,49.872,3097.9,23.59,65.891,229,339.57,94.607,77.713,31.663,9.026,26.5,6.8001,19.004,1.6635,32.666,13.967,23.328,1.3209,18.739,2.245,4.8906,2.293,0.029914,0.82915,0.088767,53.814,43.584
63.59,53.724,29.735,61.214,21.644,41.861,36.343,45.999,47.671,42.095,18.273,50,0.30469,3674.8,4504.7,9.275,27.223,42.356,2698.3,75.938,120.41,0.3567,80.441,49.403,2626.2,25.272,49.769,3098.5,22.885,65.928,229.23,338.61,94.606,77.09,31.908,9.028,26.096,6.8273,18.999,1.6821,32.671,13.885,24.193,1.3856,18.671,2.2319,4.874,2.3487,0.029914,0.82915,0.088767,53.814,43.584
63.42,53.829,29.731,63.118,21.378,42.361,33.435,46.138,47.556,40.792,19.458,50,0.30473,3684.9,4495.9,9.1904,26.785,42.297,2696.3,74.403,120.38,0.3526,80.211,48.415,2623.2,22.968,49.829,3095.7,22.399,65.917,230.57,338.98,94.568,76.901,31.908,9.028,26.096,6.8273,18.999,1.6821,32.671,13.885,24.193,1.3856,18.671,2.2319,4.874,2.3487,0.029914,0.82915,0.088767,53.814,43.584
63.53,53.765,27.875,62.789,21.325,40.896,36.661,47.51,47.412,41.333,16.64,50,0.28458,3668.3,4499,9.2982,26.92,42.286,2692.3,74.294,120.44,0.34786,79.894,49.511,2619.7,25.93,50.422,3093.2,23.601,65.822,232.29,338.77,94.61,76.87,31.971,9.0052,26.05,6.9065,19.071,1.642,32.793,13.91,23.54,1.5037,18.704,2.2243,4.8739,2.314,0.029914,0.82915,0.088767,53.814,43.584
63.66,54.266,27.873,59.867,21.423,41.215,35.424,44.153,47.255,40.821,19.79,50,0.2846,3660.9,4457.1,9.4236,26.772,42.538,2693.7,74.543,120.34,0.34525,80.138,49.091,2622.2,26.877,48.971,3093.5,22.261,65.746,232.06,338.77,94.627,77.406,31.971,9.0052,26.05,6.9065,19.071,1.642,32.793,13.91,23.54,1.5037,18.704,2.2243,4.8739,2.314,0.042903,0.84651,0.1008,54.059,43.498
62.97,53.8,27.533,61.649,21.505,41.979,42.042,51.482,47.355,41.661,16.53,50,0.28117,3661.7,4477.7,9.3604,26.625,41.859,2696.8,75.279,120.42,0.34538,80.453,51.34,2625.4,26.975,52.138,3096,23.619,65.772,230.1,338.93,94.6,77.681,32.081,8.9167,26.514,7.0256,19.117,1.6877,32.456,13.988,23.475,1.2106,18.764,2.2872,4.8517,2.2825,0.042903,0.84651,0.1008,54.059,43.498
62.85,53.763,27.703,62.267,21.351,41.63,35.667,47.136,47.315,40.666,19.976,50,0.27944,3668.3,4480.8,9.3415,26.964,42.439,2697.7,74.929,120.37,0.34824,80.624,49.173,2626.2,25.44,50.26,3097.9,22.153,65.834,229.65,338.78,94.509,77.754,32.081,8.9167,26.514,7.0256,19.117,1.6877,32.456,13.988,23.475,1.2106,18.764,2.2872,4.8517,2.2825,0.042903,0.84651,0.1008,54.059,43.498
61.95,54.101,26.852,60.198,21.777,42.532,38.398,49.132,47.242,41.346,16.987,50,0.27016,3655.3,4438.7,9.2993,27.219,42.239,2697.4,74.908,120.4,0.3596,80.649,50.101,2624.9,25.571,51.123,3097,23.408,65.928,229.53,339.29,94.708,77.603,31.877,8.9775,26.22,6.8022,18.956,1.6943,32.898,13.846,23.734,1.3345,19.213,2.2863,4.8295,2.2784,0.042903,0.84651,0.1008,54.059,43.498
62.40,53.398,26.767,62.976,21.841,42.55,33.917,43.868,47.424,40.438,16.88,50,0.27102,3629.5,4497.4,9.1835,27.113,42.691,2695.7,75.276,120.36,0.35946,80.517,48.579,2624.3,23.792,48.848,3095.4,23.463,65.969,226.55,339.17,94.67,77.211,31.877,8.9775,26.22,6.8022,18.956,1.6943,32.898,13.846,23.734,1.3345,19.213,2.2863,4.8295,2.2784,0.042903,0.84651,0.1008,54.059,43.498
63.40,53.539,28.671,63.091,21.424,41.309,37.313,48.256,47.396,41.75,20.779,50,0.29541,3683.3,4514.9,9.2242,26.593,42.396,2695.1,75.169,120.42,0.33955,80.242,49.732,2622.9,27.927,50.744,3094.7,21.83,65.91,231.02,339.72,94.699,77.111,32.252,9.0505,26.278,6.8199,19.302,1.6608,32.706,13.893,23.618,1.3345,19.354,2.2244,4.8675,2.3658,0.018507,0.84094,0.08722,54.025,44.394
63.56,53.712,28.931,59.878,21.444,40.623,34.371,43.15,47.537,41.411,15.54,50,0.29276,3674.1,4500.5,9.3143,26.611,42.734,2695.1,75.503,120.41,0.34516,80.216,48.733,2624.3,26.287,48.538,3093.6,24.036,65.851,230.78,339.72,94.544,77.303,32.252,9.0505,26.278,6.8199,19.302,1.6608,32.706,13.893,23.618,1.3345,19.354,2.2244,4.8675,2.3658,0.018507,0.84094,0.08722,54.025,44.394
63.80,53.487,25.59,61.558,21.647,41.782,41.688,48.687,47.717,41.594,19.409,50,0.25679,3655.1,4443.3,9.2822,26.687,42.331,2695.9,75.212,120.41,0.34665,80.376,51.219,2623.1,26.054,50.93,3093.3,22.401,65.854,230.1,340.07,94.694,77.327,32.341,8.9836,25.854,7.0013,18.901,1.6756,33.023,13.667,23.826,1.4396,18.569,2.2979,4.8685,2.3358,0.018507,0.84094,0.08722,54.025,44.394
63.08,53.299,25.414,59.707,21.178,41.667,42.26,48.475,47.67,40.356,17.622,50,0.25858,3696.8,4459,9.4432,26.567,42.463,2692.2,75.317,120.38,0.34759,80.187,51.414,2620.4,26.724,50.839,3091.2,23.166,65.847,231.96,339.93,94.426,77.125,32.341,8.9836,25.854,7.0013,18.901,1.6756,33.023,13.667,23.826,1.4396,18.569,2.2979,4.8685,2.3358,0.018507,0.84094,0.08722,54.025,44.394
62.31,54.015,24.501,62.97,21.86,38.788,33.99,45.898,47.789,41.45,15.388,50,0.24838,3647.3,4477,9.3661,26.841,41.943,2695,74.915,120.41,0.32097,80.308,48.603,2622.9,23.558,49.725,3091.3,24.102,65.832,231.95,339.75,94.831,77.187,31.92,8.9869,26.115,6.7591,18.918,1.6637,32.701,13.888,23.783,1.266,18.824,2.2661,4.8674,2.3518,0.018507,0.84094,0.08722,54.025,44.394
62.34,53.387,24.544,59.39,21.628,38.622,37.106,50.712,47.879,39.973,20.733,50,0.24794,3645.9,4529.4,9.3476,26.721,41.87,2694.9,74.47,120.38,0.32233,80.384,49.662,2623.3,25.569,51.805,3092.5,21.851,65.863,230.82,340.55,94.603,77.221,31.92,8.9869,26.115,6.7591,18.918,1.6637,32.701,13.888,23.783,1.266,18.824,2.2661,4.8674,2.3518,0.0077161,0.84712,0.096364,54.171,44.352
64.29,54.202,28.384,63.283,21.814,41.439,40.798,48.153,47.83,41.239,18.49,50,0.29144,3655.7,4455.9,9.3202,26.968,42.512,2695.5,74.373,120.4,0.34718,80.264,50.917,2623.2,25.773,50.699,3094,22.802,65.866,232.06,340.36,94.735,77.085,31.953,8.8812,26.748,6.7504,19.236,1.634,33.118,13.833,23.735,1.3783,18.813,2.2943,4.876,2.2554,0.0077161,0.84712,0.096364,54.171,44.352
63.80,53.504,28.566,59.848,21.972,40.908,35.407,44.502,47.813,40.244,17.081,50,0.28959,3684.2,4514.2,9.3805,27.096,42.163,2695.7,74.77,120.38,0.35154,80.256,49.085,2624.2,26.071,49.122,3093.4,23.392,65.846,232.95,340.44,94.461,77.306,31.953,8.8812,26.748,6.7504,19.236,1.634,33.118,13.833,23.735,1.3783,18.813,2.2943,4.876,2.2554,0.0077161,0.84712,0.096364,54.171,44.352
63.42,53.611,28.397,62.59,21.779,40.954,34.119,44.936,47.957,42.096,18.769,50,0.29017,3717.7,4435.7,9.3017,26.719,42.259,2698.1,75.786,120.45,0.33964,80.49,48.647,2626.4,25.146,49.31,3095.1,22.663,65.878,232.01,340.15,94.529,77.708,31.961,8.9087,26.311,7.032,19.391,1.6553,32.479,14.007,23.418,1.1617,18.75,2.2552,4.9186,2.2962,0.0077161,0.84712,0.096364,54.171,44.352
63.77,53.672,28.371,59.491,21.734,40.61,44.369,45.993,48.03,40.535,16.495,50,0.29043,3697.7,4430.7,9.2403,26.928,42.517,2695.7,74.284,120.37,0.34246,80.376,52.13,2625,24.142,49.766,3095.3,23.636,65.914,231.83,340.76,94.234,77.054,31.961,8.9087,26.311,7.032,19.391,1.6553,32.479,14.007,23.418,1.1617,18.75,2.2552,4.9186,2.2962,0.0077161,0.84712,0.096364,54.171,44.352
62.64,53.176,28.539,62.182,21.883,42.53,42.584,50.209,48.271,42.107,21.348,50,0.29213,3619.3,4432.8,9.3158,26.562,42.043,2695.6,74.872,120.41,0.36593,80.332,51.524,2624.2,24.599,51.588,3093.2,21.58,65.947,231.73,340.78,94.742,77.425,32.379,8.9551,26.403,6.9785,19.031,1.6554,33.061,13.877,23.943,1.2409,18.834,2.2781,4.8781,2.2575,0.010839,0.84836,0.09125,53.492,43.786
62.31,52.778,28.48,61.395,22.039,43.054,36.743,48.597,48.451,41.002,20.569,50,0.29273,3638.2,4466.1,9.2801,26.819,42.166,2696.4,73.969,120.39,0.36164,80.395,49.539,2624.9,24.101,50.891,3092.1,21.899,65.958,231.2,341.55,94.582,77.7,32.379,8.9551,26.403,6.9785,19.031,1.6554,33.061,13.877,23.943,1.2409,18.834,2.2781,4.8781,2.2575,0.010839,0.84836,0.09125,53.492,43.786
62.71,53.577,24.666,63.519,22.213,41.535,37.544,44.158,48.433,40.842,20.077,50,0.25094,3635.5,4467,9.2288,26.83,42.421,2698.7,75.06,120.38,0.34713,80.542,49.811,2627.7,25.925,48.973,3094.5,22.1,66.01,232.87,341.46,94.759,77.526,32.163,9.1593,25.832,6.8869,18.746,1.6116,33.073,13.815,23.517,1.21,18.677,2.2569,5.0082,2.3635,0.010839,0.84836,0.09125,53.492,43.786
62.63,53.942,24.8,60.625,21.843,40.966,33.318,48.445,48.371,41.349,16.232,50,0.24957,3640.4,4436.5,9.3357,26.909,42.542,2697.3,75.199,120.4,0.3518,80.365,48.375,2625.7,24.567,50.826,3096,23.732,66.038,235,341.2,94.636,77.065,32.163,9.1593,25.832,6.8869,18.746,1.6116,33.073,13.815,23.517,1.21,18.677,2.2569,5.0082,2.3635,0.010839,0.84836,0.09125,53.492,43.786
62.86,53.881,26.435,61.761,21.744,40.678,39.696,49.655,48.576,40.663,18.854,50,0.273,3671,4498.5,9.39,26.632,42.369,2696.8,75.818,120.39,0.34076,80.1,50.542,2625.2,25.386,51.348,3095.1,22.642,66.011,234.18,342.29,94.671,76.886,31.994,8.9384,26.321,6.82,18.718,1.627,32.759,13.923,23.652,1.3297,19.262,2.2892,4.9268,2.2945,0.010839,0.84836,0.09125,53.492,43.786
63.55,54.134,26.598,61.319,22.229,40.298,37.348,47.362,48.71,41.899,14.753,50,0.27135,3631,4477.3,9.4804,26.988,42.43,2697.8,75.344,120.41,0.34387,79.932,49.744,2625.8,24.035,50.358,3094.5,24.372,65.91,234.86,342,94.7,77.175,31.994,8.9384,26.321,6.82,18.718,1.627,32.759,13.923,23.652,1.3297,19.262,2.2892,4.9268,2.2945,0.016655,0.85553,0.093895,53.515,44.427
63.08,53.578,28.595,62.005,22.411,41.752,42.525,44.633,48.843,40.913,16.943,50,0.2861,3693.6,4530.1,9.4519,26.932,42.601,2702.2,75.202,120.4,0.35626,80.335,51.504,2631.5,24.82,49.178,3098.6,23.415,65.89,235.16,342.06,94.381,78.045,32.77,8.9685,26.339,6.8333,18.741,1.6246,33.457,13.831,23.471,1.2493,18.489,2.2552,4.9536,2.3549,0.016655,0.85553,0.093895,53.515,44.427
63.68,53.811,28.22,60.873,22.312,41.777,37.543,45.91,48.996,41.835,20.509,50,0.28992,3659,4510.6,9.4371,26.962,42.242,2705.9,75.686,120.41,0.35605,80.648,49.811,2635.5,24.459,49.731,3101.9,21.902,66.006,235.12,342.75,94.462,77.87,32.77,8.9685,26.339,6.8333,18.741,1.6246,33.457,13.831,23.471,1.2493,18.489,2.2552,4.9536,2.3549,0.016655,0.85553,0.093895,53.515,44.427
63.13,53.49,20.547,61.157,22.133,41.075,38.734,45.706,48.97,40.914,20.345,50,0.21375,3687.3,4533.5,9.4913,26.995,42.385,2703.1,74.909,120.39,0.34227,80.481,50.215,2632.3,26.204,49.642,3101,21.98,66.108,237.06,342.53,94.439,77.267,31.938,8.7859,26.164,6.8912,18.93,1.6645,33.218,13.828,23.403,1.439,18.368,2.2664,4.8254,2.3288,0.016655,0.85553,0.093895,53.515,44.427
63.21,53.633,20.843,60.782,22.159,40.361,38.322,44.259,49.234,41.791,19.549,50,0.21075,3682.4,4521.6,9.3795,26.873,42.712,2699.2,74.686,120.43,0.34812,80.199,50.076,2628,25.093,49.017,3097,22.319,66.132,235.78,342.26,94.461,77.187,31.938,8.7859,26.164,6.8912,18.93,1.6645,33.218,13.828,23.403,1.439,18.368,2.2664,4.8254,2.3288,0.016655,0.85553,0.093895,53.515,44.427
